Episodes : 500, Max Timesteps : 1500, Evaluation Interval: 50. Evaluation Epsiodes : 15
Gamma : 0.99, Epsilon : 0.2, Learning Rate : 0.0003, Lambda : 0.98, Epoch : 15, Batch size : 32
Epsiode : 0, Reward : -46.84, epsiode Length : 1500, Actor Loss : -2.06, Critic Loss : 7.18
Epsiode : 1, Reward : -44.70, epsiode Length : 1500, Actor Loss : -3.20, Critic Loss : 12.40
Epsiode : 2, Reward : -46.80, epsiode Length : 1500, Actor Loss : -3.42, Critic Loss : 12.11
Epsiode : 3, Reward : -45.86, epsiode Length : 1500, Actor Loss : 2.96, Critic Loss : 2.74
Epsiode : 4, Reward : -53.54, epsiode Length : 1500, Actor Loss : -3.98, Critic Loss : 26.29
Epsiode : 5, Reward : -54.88, epsiode Length : 1500, Actor Loss : -4.21, Critic Loss : 32.07
Epsiode : 6, Reward : -54.29, epsiode Length : 1500, Actor Loss : -4.25, Critic Loss : 34.26
Epsiode : 7, Reward : -52.49, epsiode Length : 1500, Actor Loss : -4.32, Critic Loss : 29.27
Epsiode : 8, Reward : -30.87, epsiode Length : 909, Actor Loss : -4.40, Critic Loss : 32.11
Epsiode : 9, Reward : -54.37, epsiode Length : 1500, Actor Loss : -4.88, Critic Loss : 32.39
Epsiode : 10, Reward : -54.65, epsiode Length : 1500, Actor Loss : -5.43, Critic Loss : 36.03
Epsiode : 11, Reward : -54.26, epsiode Length : 1500, Actor Loss : -5.40, Critic Loss : 34.11
Epsiode : 12, Reward : -52.29, epsiode Length : 1500, Actor Loss : -5.51, Critic Loss : 32.08
Epsiode : 13, Reward : -55.38, epsiode Length : 1500, Actor Loss : -5.64, Critic Loss : 33.35
Epsiode : 14, Reward : -56.71, epsiode Length : 1500, Actor Loss : -5.37, Critic Loss : 31.07
Epsiode : 15, Reward : -52.32, epsiode Length : 1500, Actor Loss : -5.75, Critic Loss : 34.63
Epsiode : 16, Reward : -53.00, epsiode Length : 1500, Actor Loss : -5.48, Critic Loss : 31.62
Epsiode : 17, Reward : -55.10, epsiode Length : 1500, Actor Loss : -5.59, Critic Loss : 33.66
Epsiode : 18, Reward : -56.88, epsiode Length : 1500, Actor Loss : -5.50, Critic Loss : 31.68
Epsiode : 19, Reward : -55.37, epsiode Length : 1500, Actor Loss : -6.34, Critic Loss : 42.46
Epsiode : 20, Reward : -54.99, epsiode Length : 943, Actor Loss : -5.92, Critic Loss : 35.48
Epsiode : 21, Reward : -92.39, epsiode Length : 1500, Actor Loss : -6.07, Critic Loss : 38.80
Epsiode : 22, Reward : -90.87, epsiode Length : 1500, Actor Loss : -6.20, Critic Loss : 40.80
Epsiode : 23, Reward : -90.40, epsiode Length : 1500, Actor Loss : -6.14, Critic Loss : 40.04
Epsiode : 24, Reward : -91.44, epsiode Length : 1500, Actor Loss : -6.09, Critic Loss : 39.04
Epsiode : 25, Reward : -90.78, epsiode Length : 1500, Actor Loss : -6.04, Critic Loss : 38.44
Epsiode : 26, Reward : -92.94, epsiode Length : 1500, Actor Loss : -5.95, Critic Loss : 37.67
Epsiode : 27, Reward : -84.32, epsiode Length : 1500, Actor Loss : -6.04, Critic Loss : 38.73
Epsiode : 28, Reward : -85.78, epsiode Length : 1500, Actor Loss : -6.15, Critic Loss : 39.71
Epsiode : 29, Reward : -84.89, epsiode Length : 1500, Actor Loss : -6.31, Critic Loss : 42.48
Epsiode : 30, Reward : -85.04, epsiode Length : 1500, Actor Loss : -6.05, Critic Loss : 38.40
Epsiode : 31, Reward : -84.16, epsiode Length : 1500, Actor Loss : -6.18, Critic Loss : 40.59
Epsiode : 32, Reward : -84.17, epsiode Length : 1500, Actor Loss : -6.21, Critic Loss : 40.82
Epsiode : 33, Reward : -85.68, epsiode Length : 1500, Actor Loss : -6.17, Critic Loss : 40.40
Epsiode : 34, Reward : -86.95, epsiode Length : 1500, Actor Loss : -6.13, Critic Loss : 39.41
Epsiode : 35, Reward : -84.30, epsiode Length : 1500, Actor Loss : -6.20, Critic Loss : 40.98
Epsiode : 36, Reward : -84.96, epsiode Length : 1500, Actor Loss : -6.18, Critic Loss : 39.91
Epsiode : 37, Reward : -85.60, epsiode Length : 1500, Actor Loss : -6.26, Critic Loss : 41.98
Epsiode : 38, Reward : -84.47, epsiode Length : 1500, Actor Loss : -6.21, Critic Loss : 40.22
Epsiode : 39, Reward : -86.63, epsiode Length : 1500, Actor Loss : -6.08, Critic Loss : 39.10
Epsiode : 40, Reward : -83.82, epsiode Length : 1500, Actor Loss : -6.17, Critic Loss : 39.77
Epsiode : 41, Reward : -86.72, epsiode Length : 1500, Actor Loss : -6.00, Critic Loss : 38.48
Epsiode : 42, Reward : -84.56, epsiode Length : 1500, Actor Loss : -6.37, Critic Loss : 42.95
Epsiode : 43, Reward : -85.30, epsiode Length : 1500, Actor Loss : -6.18, Critic Loss : 40.38
Epsiode : 44, Reward : -84.98, epsiode Length : 1500, Actor Loss : -5.97, Critic Loss : 37.41
Epsiode : 45, Reward : -83.55, epsiode Length : 1500, Actor Loss : -6.18, Critic Loss : 40.15
Epsiode : 46, Reward : -83.86, epsiode Length : 1500, Actor Loss : -6.25, Critic Loss : 41.91
Epsiode : 47, Reward : -82.04, epsiode Length : 1500, Actor Loss : -6.04, Critic Loss : 38.40
Epsiode : 48, Reward : -84.61, epsiode Length : 1500, Actor Loss : -6.18, Critic Loss : 40.66
Epsiode : 49, Reward : -86.04, epsiode Length : 1500, Actor Loss : -6.11, Critic Loss : 39.75
